from_date,no2,o3,pm1,pm10,pm25,relativehumidity,so2,temperature,um003,year,month,day_of_week,no2_lag_1d,no2_lag_3d,no2_lag_7d,no2_roll_mean_3d,no2_roll_mean_7d,o3_lag_1d,o3_lag_3d,o3_lag_7d,o3_roll_mean_3d,o3_roll_mean_7d,pm1_lag_1d,pm1_lag_3d,pm1_lag_7d,pm1_roll_mean_3d,pm1_roll_mean_7d,pm10_lag_1d,pm10_lag_3d,pm10_lag_7d,pm10_roll_mean_3d,pm10_roll_mean_7d,pm25_lag_1d,pm25_lag_3d,pm25_lag_7d,pm25_roll_mean_3d,pm25_roll_mean_7d,relativehumidity_lag_1d,relativehumidity_lag_3d,relativehumidity_lag_7d,relativehumidity_roll_mean_3d,relativehumidity_roll_mean_7d,so2_lag_1d,so2_lag_3d,so2_lag_7d,so2_roll_mean_3d,so2_roll_mean_7d,temperature_lag_1d,temperature_lag_3d,temperature_lag_7d,temperature_roll_mean_3d,temperature_roll_mean_7d,um003_lag_1d,um003_lag_3d,um003_lag_7d,um003_roll_mean_3d,um003_roll_mean_7d
2016-12-09 22:00:00+00:00,2.672720574509856,4.201253877869777,1.541159071680806,2.81859013751566,1.7412755637960629,4.213607983048918,0.5874718005227177,1.4060969884160703,6.472346294500901,2016,12,4,2.672720574509856,2.672720574509856,2.672720574509856,2.749301407199752,2.93569477622504,4.201253877869777,4.201253877869777,4.201253877869777,4.188641105098969,4.088070634412742,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,2.81859013751566,2.81859013751566,2.81859013751566,2.529693796303436,2.330474246984759,1.7412755637960629,1.7412755637960629,1.7412755637960629,1.6657832298116728,1.6951277700006364,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,0.5874718005227177,0.5874718005227177,0.5874718005227177,0.6111094087404763,0.6399763756176674,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901
2016-12-10 22:00:00+00:00,2.568404918588692,4.200954297280359,1.541159071680806,2.403657857944409,1.582145770146093,4.213607983048918,0.6350648105922014,1.4060969884160703,6.472346294500901,2016,12,5,2.672720574509856,2.672720574509856,2.672720574509856,2.749301407199752,2.93569477622504,4.201253877869777,4.201253877869777,4.201253877869777,4.188641105098969,4.088070634412742,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,2.81859013751566,2.81859013751566,2.81859013751566,2.529693796303436,2.330474246984759,1.7412755637960629,1.7412755637960629,1.7412755637960629,1.6657832298116728,1.6951277700006364,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,0.5874718005227177,0.5874718005227177,0.5874718005227177,0.6111094087404763,0.6399763756176674,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901
2016-12-11 22:00:00+00:00,3.0067787285007093,4.163715140146772,1.541159071680806,2.36683339345024,1.6739283554928621,4.213607983048918,0.6107916151065096,1.4060969884160703,6.472346294500901,2016,12,6,2.568404918588692,2.672720574509856,2.672720574509856,2.749301407199752,2.93569477622504,4.200954297280359,4.201253877869777,4.201253877869777,4.188641105098969,4.088070634412742,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,2.403657857944409,2.81859013751566,2.81859013751566,2.529693796303436,2.330474246984759,1.582145770146093,1.7412755637960629,1.7412755637960629,1.6657832298116728,1.6951277700006364,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,0.6350648105922014,0.5874718005227177,0.5874718005227177,0.6111094087404763,0.6399763756176674,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901
2016-12-12 22:00:00+00:00,3.2048954767005777,4.105778939847764,1.541159071680806,2.0006788785970793,1.559115806209645,4.213607983048918,0.5678988487922902,1.4060969884160703,6.472346294500901,2016,12,0,3.0067787285007093,2.672720574509856,2.672720574509856,2.749301407199752,2.93569477622504,4.163715140146772,4.201253877869777,4.201253877869777,4.188641105098969,4.088070634412742,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,2.36683339345024,2.81859013751566,2.81859013751566,2.529693796303436,2.330474246984759,1.6739283554928621,1.7412755637960629,1.7412755637960629,1.6657832298116728,1.6951277700006364,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,0.6107916151065096,0.5874718005227177,0.5874718005227177,0.6111094087404763,0.6399763756176674,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901
2016-12-13 22:00:00+00:00,2.9043884481253004,4.044007748060507,1.541159071680806,2.3185990396901106,1.8085409461900586,4.213607983048918,0.6175851603375243,1.4060969884160703,6.472346294500901,2016,12,1,3.2048954767005777,2.568404918588692,2.672720574509856,2.926693041263326,2.93569477622504,4.105778939847764,4.200954297280359,4.201253877869777,4.156816125758298,4.088070634412742,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,2.0006788785970793,2.403657857944409,2.81859013751566,2.257056709997243,2.330474246984759,1.559115806209645,1.582145770146093,1.7412755637960629,1.6050633106162,1.6951277700006364,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,0.5678988487922902,0.6350648105922014,0.5874718005227177,0.6045850914970005,0.6399763756176674,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901
2016-12-14 22:00:00+00:00,3.0417291628716794,3.989488969574244,1.541159071680806,2.198414345471808,1.695756741975789,4.213607983048918,0.9057015303198869,1.4060969884160703,6.472346294500901,2016,12,2,2.9043884481253004,3.0067787285007093,2.672720574509856,3.0386875511088625,2.93569477622504,4.044007748060507,4.163715140146772,4.201253877869777,4.104500609351681,4.088070634412742,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,2.3185990396901106,2.36683339345024,2.81859013751566,2.228703770579143,2.330474246984759,1.8085409461900586,1.6739283554928621,1.7412755637960629,1.680528369297522,1.6951277700006364,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,0.6175851603375243,0.6107916151065096,0.5874718005227177,0.598758541412108,0.6399763756176674,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901
2016-12-15 22:00:00+00:00,3.1509461242784647,3.911295468109769,1.541159071680806,2.206546076224003,1.8051312061939444,4.213607983048918,0.5553208636525419,1.4060969884160703,6.472346294500901,2016,12,3,3.0417291628716794,3.2048954767005777,2.672720574509856,3.0503376958991857,2.93569477622504,3.989488969574244,4.105778939847764,4.201253877869777,4.046425219160838,4.088070634412742,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,2.198414345471808,2.0006788785970793,2.81859013751566,2.172564087919666,2.330474246984759,1.695756741975789,1.559115806209645,1.7412755637960629,1.6878044981251643,1.6951277700006364,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,0.9057015303198869,0.5678988487922902,0.5874718005227177,0.6970618464832338,0.6399763756176674,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901
2016-12-16 22:00:00+00:00,2.817984854806379,3.812102213066138,1.541159071680806,1.811620451497554,1.6140426788208486,4.213607983048918,0.8387375154368377,1.4060969884160703,6.472346294500901,2016,12,4,3.1509461242784647,2.9043884481253004,2.672720574509856,3.032354578425148,2.93569477622504,3.911295468109769,4.044007748060507,4.201253877869777,3.981597395248174,4.088070634412742,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,2.206546076224003,2.3185990396901106,2.81859013751566,2.2411864871286404,2.330474246984759,1.8051312061939444,1.8085409461900586,1.7412755637960629,1.769809631453264,1.6951277700006364,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,0.5553208636525419,0.6175851603375243,0.5874718005227177,0.6928691847699843,0.6399763756176674,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901
2016-12-17 22:00:00+00:00,2.452201331941372,3.948091903680201,1.541159071680806,1.6981680496040836,1.44256562942583,4.213607983048918,0.6301896312497773,1.4060969884160703,6.472346294500901,2016,12,5,2.817984854806379,3.0417291628716794,2.568404918588692,3.003553380652175,2.9564468162674005,3.812102213066138,3.989488969574244,4.200954297280359,3.9042955502500507,4.0324775394407935,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,1.811620451497554,2.198414345471808,2.403657857944409,2.0721936243977885,2.1866214346964576,1.6140426788208486,1.695756741975789,1.582145770146093,1.7049768756635275,1.676951643575606,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,0.8387375154368377,0.9057015303198869,0.6350648105922014,0.7665866364697554,0.675871477748256,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901
2016-12-18 22:00:00+00:00,3.1149126231107322,3.822098297900159,1.541159071680806,1.9606479509417654,1.5051025121915194,4.213607983048918,0.7308175472478214,1.4060969884160703,6.472346294500901,2016,12,6,2.452201331941372,3.1509461242784647,3.0067787285007093,2.8070441036754055,2.9398463038892118,3.948091903680201,3.911295468109769,4.163715140146772,3.8904965282853694,3.9963543403550568,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,1.541159071680806,1.6981680496040836,2.206546076224003,2.36683339345024,1.9054448591085469,2.0858371763621255,1.44256562942583,1.8051312061939444,1.6739283554928621,1.6205798381468741,1.657011623472711,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,4.213607983048918,0.6301896312497773,0.5553208636525419,0.6107916151065096,0.674749336779719,0.6751750235564812,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,1.4060969884160703,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901,6.472346294500901
